SpeciesAccepted,Kingdom,Lat,Lon
Aeonium_haworthii,Plantae,-43.583100000000002,172.7747
Aeonium_haworthii,Plantae,-43.601100000000002,172.7149
Aeonium_haworthii,Plantae,-43.569000000000003,172.6345
Aeonium_haworthii,Plantae,-43.638599999999997,172.71360000000001
Aeonium_haworthii,Plantae,-43.585599999999999,172.7372
Aeonium_haworthii,Plantae,-43.566400000000002,172.65369999999999
Aeonium_haworthii,Plantae,-43.63,172.72380000000001
Aeonium_haworthii,Plantae,-43.578400000000002,172.71270000000001
Cotyledon_orbiculata,Plantae,-43.809399999999997,172.9657
Cotyledon_orbiculata,Plantae,-43.493000000000002,172.53700000000001
Cotyledon_orbiculata,Plantae,-43.530999999999999,172.619
Cotyledon_orbiculata,Plantae,-43.530700000000003,172.60769999999999
Cotyledon_orbiculata,Plantae,-43.506,172.73500000000001
Cotyledon_orbiculata,Plantae,-43.746000000000002,173.119
Cotyledon_orbiculata,Plantae,-43.626199999999997,172.47040000000001
Cotyledon_orbiculata,Plantae,-43.607999999999997,172.72399999999999
Cotyledon_orbiculata,Plantae,-43.789400000000001,172.3116
Cotyledon_orbiculata,Plantae,-43.761499999999998,172.3049
Cotyledon_orbiculata,Plantae,-43.328600000000002,172.61109999999999
Cotyledon_orbiculata,Plantae,-43.604999999999997,172.649
Cotyledon_orbiculata,Plantae,-43.581600000000002,172.6551
Cotyledon_orbiculata,Plantae,-43.583300000000001,172.64930000000001
Cotyledon_orbiculata,Plantae,-43.587800000000001,172.65190000000001
Cotyledon_orbiculata,Plantae,-43.5916,172.65170000000001
Cotyledon_orbiculata,Plantae,-43.6,172.64449999999999
Cotyledon_orbiculata,Plantae,-43.595300000000002,172.66540000000001
Cotyledon_orbiculata,Plantae,-43.814100000000003,172.7182
Cotyledon_orbiculata,Plantae,-43.812600000000003,172.71969999999999
Cotyledon_orbiculata,Plantae,-43.653199999999998,172.62360000000001
Cotyledon_orbiculata,Plantae,-43.655099999999997,172.6233
Cotyledon_orbiculata,Plantae,-43.6556,172.6234
Cotyledon_orbiculata,Plantae,-43.6584,172.62360000000001
Cotyledon_orbiculata,Plantae,-43.661000000000001,172.6242
Cotyledon_orbiculata,Plantae,-43.665300000000002,172.624
Cotyledon_orbiculata,Plantae,-43.574100000000001,172.7465
Cotyledon_orbiculata,Plantae,-43.577599999999997,172.7527
Cotyledon_orbiculata,Plantae,-43.593600000000002,172.74029999999999
Cotyledon_orbiculata,Plantae,-43.582500000000003,172.74180000000001
Cotyledon_orbiculata,Plantae,-43.578499999999998,172.744
Cotyledon_orbiculata,Plantae,-43.5884,172.74449999999999
Cotyledon_orbiculata,Plantae,-43.822600000000001,172.96960000000001
Cotyledon_orbiculata,Plantae,-43.822200000000002,172.97030000000001
Cotyledon_orbiculata,Plantae,-43.834800000000001,172.9709
Cotyledon_orbiculata,Plantae,-43.847200000000001,172.97219999999999
Cotyledon_orbiculata,Plantae,-43.822800000000001,172.98249999999999
Cotyledon_orbiculata,Plantae,-43.832599999999999,172.99889999999999
Cotyledon_orbiculata,Plantae,-43.5871,172.75239999999999
Cotyledon_orbiculata,Plantae,-43.587899999999998,172.761
Cotyledon_orbiculata,Plantae,-43.593600000000002,172.76779999999999
Cotyledon_orbiculata,Plantae,-43.593200000000003,172.76929999999999
Cotyledon_orbiculata,Plantae,-43.837899999999998,172.78829999999999
Cotyledon_orbiculata,Plantae,-43.822499999999998,172.8202
Cotyledon_orbiculata,Plantae,-43.845399999999998,172.78639999999999
Cotyledon_orbiculata,Plantae,-43.857799999999997,172.7749
Cotyledon_orbiculata,Plantae,-43.856900000000003,172.77180000000001
Cotyledon_orbiculata,Plantae,-43.850200000000001,172.77430000000001
Cotyledon_orbiculata,Plantae,-43.836100000000002,172.77600000000001
Cotyledon_orbiculata,Plantae,-43.823799999999999,172.78450000000001
Cotyledon_orbiculata,Plantae,-43.813299999999998,172.8169
Cotyledon_orbiculata,Plantae,-43.815800000000003,172.8228
Cotyledon_orbiculata,Plantae,-43.826099999999997,172.70429999999999
Cotyledon_orbiculata,Plantae,-43.825400000000002,172.70529999999999
Cotyledon_orbiculata,Plantae,-43.622,172.7835
Cotyledon_orbiculata,Plantae,-43.621899999999997,172.7852
Cotyledon_orbiculata,Plantae,-43.634399999999999,172.72300000000001
Cotyledon_orbiculata,Plantae,-43.634399999999999,172.72300000000001
Cotyledon_orbiculata,Plantae,-43.634300000000003,172.72120000000001
Cotyledon_orbiculata,Plantae,-43.572400000000002,172.77109999999999
Cotyledon_orbiculata,Plantae,-43.573999999999998,172.7698
Cotyledon_orbiculata,Plantae,-43.584699999999998,172.77869999999999
Cotyledon_orbiculata,Plantae,-43.586599999999997,172.78370000000001
Cotyledon_orbiculata,Plantae,-43.637599999999999,172.71449999999999
Cotyledon_orbiculata,Plantae,-43.636299999999999,172.71539999999999
Cotyledon_orbiculata,Plantae,-43.638800000000003,172.71360000000001
Cotyledon_orbiculata,Plantae,-43.610100000000003,172.70320000000001
Cotyledon_orbiculata,Plantae,-43.610300000000002,172.7037
Cotyledon_orbiculata,Plantae,-43.573599999999999,172.7585
Cotyledon_orbiculata,Plantae,-43.695900000000002,173.06950000000001
Cotyledon_orbiculata,Plantae,-43.697000000000003,173.06440000000001
Cotyledon_orbiculata,Plantae,-43.682200000000002,172.8913
Cotyledon_orbiculata,Plantae,-43.6571,172.9153
Cotyledon_orbiculata,Plantae,-43.5745,172.75829999999999
Cotyledon_orbiculata,Plantae,-43.584800000000001,172.7783
Cotyledon_orbiculata,Plantae,-43.583100000000002,172.7747
Cotyledon_orbiculata,Plantae,-43.601100000000002,172.7149
Cotyledon_orbiculata,Plantae,-43.569000000000003,172.6345
Cotyledon_orbiculata,Plantae,-43.638599999999997,172.71360000000001
Cotyledon_orbiculata,Plantae,-43.585599999999999,172.7372
Cotyledon_orbiculata,Plantae,-43.566400000000002,172.65369999999999
Cotyledon_orbiculata,Plantae,-43.63,172.72380000000001
Cotyledon_orbiculata,Plantae,-43.578400000000002,172.71270000000001
Aconitum_noveboracense,Plantae,43.284939999999999,-74.216790000000003
Aconitum_noveboracense,Plantae,43.284939999999999,-74.216790000000003
Astragalus_utahensis,Plantae,40.902538999999997,-111.847176
Astragalus_utahensis,Plantae,41.085465999999997,-111.901825
Astragalus_utahensis,Plantae,41.690274000000002,-111.774181
Astragalus_utahensis,Plantae,42.722914000000003,-112.37520000000001
Astragalus_utahensis,Plantae,43.206141000000002,-111.051529
Astragalus_utahensis,Plantae,43.258861000000003,-111.991344
Astragalus_utahensis,Plantae,43.285046999999999,-111.11032
Cirsium_vulgare,Plantae,40.776319999999998,-96.778689999999997
Cirsium_altissimum,Plantae,40.776319999999998,-96.778689999999997
Hedysarum_fruticosum_var._laeve,Plantae,39.493780000000001,110.1915
Hypericum cumulicola,Plantae,27.183070000000001,-81.352192000000002
Dracocephalum_austriacum,Plantae,NA,NA
Succisa_pratensis,Plantae,52,5.6
Hypericum cumulicola,Plantae,27.183070000000001,-81.352192000000002
Cirsium_arvense,Plantae,51.409652999999999,-0.63468599999999997
Actaea_spicata,Plantae,58.957456000000001,17.578410999999999
Cirsium_canescens,Plantae,42.729557999999997,-100.71264600000001
Cirsium_canescens,Plantae,42.729557999999997,-100.71264600000001
Campanula_thyrsoides,Plantae,46.666666999999997,7.9
Campanula_thyrsoides,Plantae,46.666666999999997,7.9
Cirsium_palustre,Plantae,58.957424000000003,17.578474
Primula_veris,Plantae,NC,NC
Phoenix_loureiroi,Plantae,NC,NC
Ailanthus_altissima,Plantae,38.516639999999995,-90.568286333333333
Ailanthus_altissima,Plantae,38.516639999999995,-90.568286333333333
Euonymus_alatus,Plantae,38.523245000000003,-90.565577499999989
Euonymus_alatus,Plantae,38.523245000000003,-90.565577499999989
Ligustrum_obtusifolium,Plantae,38.480364999999999,-90.821782999999996
Ligustrum_obtusifolium,Plantae,38.480364999999999,-90.821782999999996
Lonicera_maackii,Plantae,38.521140500000001,-90.566514999999995
Lonicera_maackii,Plantae,38.521140500000001,-90.566514999999995
Heracleum_mantegazzianum,Plantae,NC,NC
Caragana_korshinskii,Plantae,39.312060000000002,108.6503
Caragana_korshinskii,Plantae,39.312060000000002,108.6503
Veratrum_album,Plantae,NC,NC
Veratrum_album,Plantae,NC,NC
Veratrum_album,Plantae,NC,NC
Mimulus_cardinalis,Plantae,43.651699999999998,-123.08799999999999
Mimulus_cardinalis,Plantae,43.413699999999999,-122.7804
Mimulus_cardinalis,Plantae,43.37876,-122.9521
Mimulus_cardinalis,Plantae,42.27525,-123.64
Mimulus_cardinalis,Plantae,41.80979,-123.1189
Mimulus_cardinalis,Plantae,41.665460000000003,-123.1134
Mimulus_cardinalis,Plantae,39.742980000000003,-120.70399999999999
Mimulus_cardinalis,Plantae,39.732619999999997,-121.40389999999999
Mimulus_cardinalis,Plantae,39.712090000000003,-121.2748
Mimulus_cardinalis,Plantae,39.553840000000001,-120.98779999999999
Mimulus_cardinalis,Plantae,39.520400000000002,-120.9982
Mimulus_cardinalis,Plantae,39.457850000000001,-121.06180000000001
Mimulus_cardinalis,Plantae,39.397039999999997,-121.08199999999999
Mimulus_cardinalis,Plantae,37.985550000000003,-120.2045
Mimulus_cardinalis,Plantae,37.818779999999997,-120.0073
Mimulus_cardinalis,Plantae,37.81006,-119.85680000000001
Mimulus_cardinalis,Plantae,37.77722,-120.0633
Mimulus_cardinalis,Plantae,37.672029999999999,-119.8182
Mimulus_cardinalis,Plantae,37.642319999999998,-119.9248
Mimulus_cardinalis,Plantae,37.538220000000003,-119.6514
Mimulus_cardinalis,Plantae,36.689520000000002,-118.9096
Mimulus_cardinalis,Plantae,36.518830000000001,-118.7603
Mimulus_cardinalis,Plantae,36.206960000000002,-118.7269
Mimulus_cardinalis,Plantae,36.200809999999997,-118.65089999999999
Mimulus_cardinalis,Plantae,36.137560000000001,-118.5741
Mimulus_cardinalis,Plantae,35.852899999999998,-118.4473
Mimulus_cardinalis,Plantae,34.28425,-117.3754
Mimulus_cardinalis,Plantae,34.07808,-116.87560000000001
Mimulus_cardinalis,Plantae,33.993290000000002,-116.6627
Mimulus_cardinalis,Plantae,32.89913,-116.5865
Mimulus_cardinalis,Plantae,32.75206,-116.4522
Mimulus_cardinalis,Plantae,32.65822,-116.53230000000001
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Dianthus_morisianus,Plantae,39.408360999999999,8.4111849999999997
Reynoutria_japonica,Plantae,42.805999999999997,-84.447000000000003
Reynoutria_japonica,Plantae,42.36,-85.387
Reynoutria_japonica,Plantae,42.427999999999997,-83.533000000000001
Reynoutria_japonica,Plantae,42.954000000000001,-84.424999999999997
Reynoutria_japonica,Plantae,42.805999999999997,-84.447000000000003
Reynoutria_japonica,Plantae,42.36,-85.387
Reynoutria_japonica,Plantae,42.427999999999997,-83.533000000000001
Reynoutria_japonica,Plantae,42.954000000000001,-84.424999999999997
Dracocephalum_austriacum,Plantae,45.2893,7.0433
Dracocephalum_austriacum,Plantae,44.7223,6.5258
Dracocephalum_austriacum,Plantae,44.7628,6.7168
Dracocephalum_austriacum,Plantae,44.7833,6.4718
Dracocephalum_austriacum,Plantae,44.3263,6.1838
Dracocephalum_austriacum,Plantae,44.9318,6.2333
Dracocephalum_austriacum,Plantae,44.8778,6.0958
Protea_repens,Plantae,-34.16667,18.375
Pinus_halapensis,Plantae,40.38333,-3.716667
Fagus_sylvatica,Plantae,40.38333,-3.716667
Juniperus_thurifera,Plantae,40.38333,-3.716667
Pinus_nigra,Plantae,40.38333,-3.716667
Pinus_pinaster,Plantae,40.38333,-3.716667
Pinus_pinea,Plantae,40.38333,-3.716667
Pinus_sylvestris,Plantae,40.38333,-3.716667
Pinus_uncinata,Plantae,40.38333,-3.716667
Quercus_faginea,Plantae,40.38333,-3.716667
Quercus_ilex,Plantae,40.38333,-3.716667
Quercus_pyrenaica,Plantae,40.38333,-3.716667
Quercus_robur,Plantae,40.38333,-3.716667
Quercus_suber,Plantae,40.38333,-3.716667
Veronica_alpina,Plantae,60.83,7.17
Veronica_alpina,Plantae,60.83,7.17
Veronica_alpina,Plantae,60.83,7.27
Veronica_alpina,Plantae,60.83,7.27
Veronica_alpina,Plantae,61.08,6.63
Veronica_alpina,Plantae,61.08,6.63
Veronica_alpina,Plantae,60.93,6.41
Veronica_alpina,Plantae,60.93,6.41
Veronica_alpina,Plantae,61.02,8.12
Veronica_alpina,Plantae,61.02,8.12
Veronica_alpina,Plantae,60.54,6.51
Veronica_alpina,Plantae,60.54,6.51
Veronica_officinalis,Plantae,60.82,8.7
Veronica_officinalis,Plantae,60.82,8.7
Veronica_officinalis,Plantae,60.66,6.33
Veronica_officinalis,Plantae,60.66,6.33
Veronica_officinalis,Plantae,61.03,9.07
Veronica_officinalis,Plantae,61.03,9.07
Veronica_officinalis,Plantae,60.87,7.17
Veronica_officinalis,Plantae,60.87,7.17
Veronica_officinalis,Plantae,60.69,5.96
Veronica_officinalis,Plantae,60.69,5.96
Veronica_officinalis,Plantae,61.08,6.63
Veronica_officinalis,Plantae,61.08,6.63
Veronica_officinalis,Plantae,60.54,6.51
Veronica_officinalis,Plantae,60.54,6.51
Veronica_officinalis,Plantae,60.88,7.16
Veronica_officinalis,Plantae,60.88,7.16
Viola_palustris,Plantae,60.66,6.33
Viola_palustris,Plantae,60.66,6.33
Viola_palustris,Plantae,60.83,7.17
Viola_palustris,Plantae,60.83,7.17
Viola_palustris,Plantae,60.87,7.17
Viola_palustris,Plantae,60.87,7.17
Viola_palustris,Plantae,60.69,5.96
Viola_palustris,Plantae,60.69,5.96
Viola_palustris,Plantae,61.08,6.63
Viola_palustris,Plantae,61.08,6.63
Viola_palustris,Plantae,60.93,6.41
Viola_palustris,Plantae,60.93,6.41
Viola_palustris,Plantae,60.54,6.51
Viola_palustris,Plantae,60.54,6.51
Viola_biflora,Plantae,60.83,7.17
Viola_biflora,Plantae,60.83,7.17
Viola_biflora,Plantae,60.83,7.27
Viola_biflora,Plantae,60.83,7.27
Viola_biflora,Plantae,61.08,6.63
Viola_biflora,Plantae,61.08,6.63
Viola_biflora,Plantae,61.02,8.12
Viola_biflora,Plantae,61.02,8.12
